Tree	TreePart	Moisture	Site	Worker
Aph4	br	0.72	Bealanana	Hasina
Eug1	br	1.17	Bealanana	Hasina
Dio9	br	2.14	Bealanana	Hasina
Mam1	br	0.33	Bealanana	Hasina
Aph2	tr.b	1.53	Bealanana	Hasina
Eug1	tr.h	0.61	Bealanana	Hasina
Aph4	tr.h	0.99	Bealanana	Hasina
Rap2	tr.h	2.44	Bealanana	Hasina
Mam3	tr.m	0.93	Bealanana	Hasina
Nor6	tr.m	0.87	Bealanana	Hasina
SCH9	br	1.98388096714197	Fandriana	Samuelson
CRY7	br	0.233281493001564	Fandriana	Samuelson
CAN6	br	0.8298755186722	Fandriana	Samuelson
EUG5	tr.b	0.567888487351581	Fandriana	Samuelson
OCO6	tr.b	1.60034602076124	Fandriana	Samuelson
CAL4	tr.b	0.963744837081226	Fandriana	Samuelson
WEI5	tr.b	1.58227848101265	Fandriana	Samuelson
MAC3	tr.b	0.511945392491468	Fandriana	Samuelson
OCO6	tr.m	2.19907407407408	Fandriana	Samuelson
DRY6	tr.m	0.355029585798817	Fandriana	Samuelson
EUG1	tr.m	0.180072028811518	Fandriana	Samuelson
CAM5	tr.m	0.220913107511054	Fandriana	Samuelson
WEI8	tr.m	0.256739409499358	Fandriana	Samuelson
WEI4	tr.m	1.15864527629235	Fandriana	Samuelson
MAC5	tr.h	2.48416950803703	Fandriana	Samuelson
CAN4	tr.h	2.14344600164881	Fandriana	Samuelson
SCH9	tr.h	1.71159606332906	Fandriana	Samuelson
SYM5	tr.h	0.448028673835136	Fandriana	Samuelson
EUG1	tr.h	0.886262924667652	Fandriana	Samuelson
OCO2	tr.h	0.67476383265857	Fandriana	Samuelson
C2	br	1.45	Fort-Dauphin-Moist	Sarobidy
G4	br	1.3	Fort-Dauphin-Moist	Sarobidy
B8	br	1.08	Fort-Dauphin-Moist	Sarobidy
E7	br	1.22	Fort-Dauphin-Moist	Sarobidy
D6	br	1.65	Fort-Dauphin-Moist	Sarobidy
H9	br	1.17	Fort-Dauphin-Moist	Sarobidy
D1	br	1.16	Fort-Dauphin-Moist	Sarobidy
H3	br	1.89	Fort-Dauphin-Moist	Sarobidy
M4	br	0.58	Fort-Dauphin-Dry	Sarobidy
J3	br	0.07	Fort-Dauphin-Dry	Sarobidy
D4	br	0.11	Fort-Dauphin-Dry	Sarobidy
D9	br	0.72	Fort-Dauphin-Dry	Sarobidy
J4	tr.b	1.23	Fort-Dauphin-Moist	Sarobidy
N2	tr.b	1.11	Fort-Dauphin-Dry	Sarobidy
I4	tr.b	1.63	Fort-Dauphin-Dry	Sarobidy
E4	tr.b	0.65	Fort-Dauphin-Dry	Sarobidy
F9	tr.b	0.64	Fort-Dauphin-Dry	Sarobidy
K3	tr.b	2.39	Fort-Dauphin-Dry	Sarobidy
I3	tr.h	1.1	Fort-Dauphin-Moist	Sarobidy
F7	tr.h	1.13	Fort-Dauphin-Moist	Sarobidy
E3	tr.h	1.3	Fort-Dauphin-Moist	Sarobidy
A6	tr.h	0.86	Fort-Dauphin-Moist	Sarobidy
N5	tr.h	1.58	Fort-Dauphin-Dry	Sarobidy
L9	tr.h	0.04	Fort-Dauphin-Dry	Sarobidy
F9	tr.h	0.09	Fort-Dauphin-Dry	Sarobidy
B7	tr.h	0.83	Fort-Dauphin-Dry	Sarobidy
I6	tr.m	1.06	Fort-Dauphin-Moist	Sarobidy
F3	tr.m	1.24	Fort-Dauphin-Moist	Sarobidy
J8	tr.m	1.11	Fort-Dauphin-Moist	Sarobidy
B6	tr.m	1.6	Fort-Dauphin-Moist	Sarobidy
A9	tr.m	1.33	Fort-Dauphin-Moist	Sarobidy
A9	tr.m	1.37	Fort-Dauphin-Dry	Sarobidy
A5	tr.m	1.32	Fort-Dauphin-Dry	Sarobidy
O4	tr.m	0.09	Fort-Dauphin-Dry	Sarobidy
G4	tr.m	0.14	Fort-Dauphin-Dry	Sarobidy
K2	tr.m	3.32	Fort-Dauphin-Dry	Sarobidy
Cryp8	tr.b	1.92	Ivohibe	Zafyson
Sym1	tr.b	0.77	Ivohibe	Zafyson
Fic5	tr.b	0.67	Ivohibe	Zafyson
Chry9	tr.b	1.40	Ivohibe	Zafyson
Haru2	tr.b	1.20	Ivohibe	Zafyson
Hom1	tr.h	1.17	Ivohibe	Zafyson
Syz1	tr.h	1.07	Ivohibe	Zafyson
Grew8	tr.h	1.77	Ivohibe	Zafyson
Ocot3	tr.m	0.95	Ivohibe	Zafyson
Maca5	tr.m	0.71	Ivohibe	Zafyson
